date,country,H,I,S,D,M
2021-04-01,Sweden,9,1,0,0,0
2021-04-02,Sweden,7,3,0,0,0
2021-04-03,Sweden,6,4,0,0,0
2021-04-04,Sweden,3,7,0,0,0
2021-04-05,Sweden,3,6,0,0,1
2021-04-06,Sweden,3,4,1,0,2
2021-04-07,Sweden,1,5,1,0,3
2021-04-08,Sweden,1,2,3,0,4
2021-04-09,Sweden,1,2,3,0,4
2021-04-10,Sweden,1,2,3,0,4
2021-04-11,Sweden,1,0,3,0,6
2021-04-12,Sweden,1,0,3,0,6
2021-04-13,Sweden,1,0,3,0,6
2021-04-14,Sweden,1,0,3,0,6
2021-04-15,Sweden,1,0,3,0,6
2021-04-16,Sweden,1,0,3,0,6
2021-04-17,Sweden,1,0,3,0,6
2021-04-18,Sweden,1,0,3,0,6
2021-04-19,Sweden,1,0,3,0,6
2021-04-20,Sweden,1,0,2,0,7
2021-04-21,Sweden,1,0,2,0,7
2021-04-22,Sweden,1,0,0,1,8
2021-04-23,Sweden,1,0,0,1,8
2021-04-24,Sweden,1,0,0,1,8
2021-04-25,Sweden,1,0,0,1,8
2021-04-26,Sweden,1,0,0,1,8
2021-04-27,Sweden,1,0,0,1,8
2021-04-28,Sweden,1,0,0,1,8
2021-04-29,Sweden,1,0,0,1,8
2021-04-30,Sweden,1,0,0,1,8
2021-05-01,Sweden,1,0,0,1,8
2021-05-02,Sweden,1,0,0,1,8
2021-05-03,Sweden,1,0,0,1,8
2021-05-04,Sweden,1,0,0,1,8
2021-05-05,Sweden,1,0,0,1,8
2021-05-06,Sweden,1,0,0,1,8
2021-05-07,Sweden,1,0,0,1,8
2021-05-08,Sweden,1,0,0,1,8
2021-05-09,Sweden,1,0,0,1,8
2021-05-10,Sweden,1,0,0,1,8
2021-05-11,Sweden,1,0,0,1,8
2021-05-12,Sweden,1,0,0,1,8
2021-05-13,Sweden,1,0,0,1,8
2021-05-14,Sweden,1,0,0,1,8
2021-05-15,Sweden,1,0,0,1,8
2021-05-16,Sweden,1,0,0,1,8
2021-05-17,Sweden,1,0,0,1,8
2021-05-18,Sweden,1,0,0,1,8
2021-05-19,Sweden,1,0,0,1,8
2021-05-20,Sweden,1,0,0,1,8
2021-05-21,Sweden,1,0,0,1,8
2021-05-22,Sweden,1,0,0,1,8
2021-05-23,Sweden,1,0,0,1,8
2021-05-24,Sweden,1,0,0,1,8
2021-05-25,Sweden,1,0,0,1,8
2021-05-26,Sweden,1,0,0,1,8
2021-05-27,Sweden,0,1,0,1,8
2021-05-28,Sweden,0,1,0,1,8
2021-05-29,Sweden,0,1,0,1,8
2021-05-30,Sweden,0,1,0,1,8
2021-05-31,Sweden,0,0,0,1,9
2021-06-01,Sweden,0,0,0,1,9
2021-06-02,Sweden,0,0,0,1,9
2021-06-03,Sweden,0,0,0,1,9
2021-06-04,Sweden,0,0,0,1,9
2021-06-05,Sweden,0,0,0,1,9
2021-06-06,Sweden,0,0,0,1,9
2021-06-07,Sweden,0,0,0,1,9
2021-06-08,Sweden,0,0,0,1,9
2021-06-09,Sweden,0,0,0,1,9
